"Time differences (ps)"	"Counts per bin"
-3000	28
-2998	32
-2996	27
-2994	29
-2992	24
-2990	27
-2988	28
-2986	23
-2984	19
-2982	19
-2980	20
-2978	18
-2976	18
-2974	18
-2972	24
-2970	15
-2968	22
-2966	16
-2964	11
-2962	14
-2960	10
-2958	5
-2956	7
-2954	12
-2952	7
-2950	8
-2948	1
-2946	5
-2944	4
-2942	3
-2940	8
-2938	3
-2936	0
-2934	2
-2932	1
-2930	1
-2928	3
-2926	2
-2924	2
-2922	3
-2920	0
-2918	2
-2916	0
-2914	1
-2912	0
-2910	1
-2908	2
-2906	0
-2904	0
-2902	4
-2900	0
-2898	1
-2896	0
-2894	0
-2892	1
-2890	1
-2888	1
-2886	0
-2884	0
-2882	1
-2880	0
-2878	2
-2876	0
-2874	0
-2872	0
-2870	1
-2868	0
-2866	0
-2864	0
-2862	0
-2860	0
-2858	0
-2856	0
-2854	0
-2852	0
-2850	0
-2848	0
-2846	0
-2844	0
-2842	1
-2840	0
-2838	0
-2836	0
-2834	0
-2832	0
-2830	0
-2828	0
-2826	0
-2824	0
-2822	1
-2820	0
-2818	0
-2816	0
-2814	0
-2812	1
-2810	0
-2808	0
-2806	0
-2804	1
-2802	0
-2800	0
-2798	0
-2796	0
-2794	0
-2792	0
-2790	0
-2788	1
-2786	2
-2784	0
-2782	0
-2780	1
-2778	0
-2776	0
-2774	0
-2772	0
-2770	1
-2768	0
-2766	0
-2764	0
-2762	0
-2760	0
-2758	0
-2756	0
-2754	0
-2752	1
-2750	0
-2748	0
-2746	0
-2744	0
-2742	0
-2740	0
-2738	0
-2736	0
-2734	0
-2732	1
-2730	0
-2728	0
-2726	0
-2724	0
-2722	1
-2720	0
-2718	1
-2716	0
-2714	0
-2712	0
-2710	0
-2708	0
-2706	0
-2704	0
-2702	0
-2700	0
-2698	0
-2696	0
-2694	0
-2692	1
-2690	0
-2688	0
-2686	2
-2684	0
-2682	1
-2680	0
-2678	0
-2676	0
-2674	0
-2672	0
-2670	0
-2668	0
-2666	0
-2664	0
-2662	0
-2660	1
-2658	0
-2656	0
-2654	0
-2652	0
-2650	0
-2648	0
-2646	0
-2644	0
-2642	0
-2640	0
-2638	0
-2636	1
-2634	0
-2632	0
-2630	0
-2628	0
-2626	0
-2624	0
-2622	0
-2620	0
-2618	0
-2616	0
-2614	0
-2612	0
-2610	0
-2608	0
-2606	0
-2604	0
-2602	0
-2600	0
-2598	0
-2596	0
-2594	1
-2592	0
-2590	0
-2588	0
-2586	0
-2584	0
-2582	0
-2580	0
-2578	0
-2576	0
-2574	0
-2572	0
-2570	0
-2568	0
-2566	0
-2564	0
-2562	1
-2560	0
-2558	1
-2556	0
-2554	0
-2552	0
-2550	0
-2548	0
-2546	0
-2544	0
-2542	0
-2540	0
-2538	0
-2536	0
-2534	0
-2532	1
-2530	0
-2528	0
-2526	0
-2524	0
-2522	0
-2520	1
-2518	0
-2516	1
-2514	0
-2512	0
-2510	0
-2508	0
-2506	0
-2504	1
-2502	0
-2500	0
-2498	0
-2496	0
-2494	0
-2492	0
-2490	1
-2488	0
-2486	0
-2484	0
-2482	0
-2480	0
-2478	0
-2476	0
-2474	0
-2472	0
-2470	0
-2468	0
-2466	2
-2464	0
-2462	0
-2460	0
-2458	0
-2456	0
-2454	0
-2452	0
-2450	0
-2448	0
-2446	0
-2444	0
-2442	0
-2440	0
-2438	0
-2436	0
-2434	0
-2432	0
-2430	0
-2428	0
-2426	0
-2424	0
-2422	0
-2420	0
-2418	0
-2416	0
-2414	0
-2412	1
-2410	0
-2408	0
-2406	0
-2404	0
-2402	0
-2400	0
-2398	0
-2396	0
-2394	0
-2392	0
-2390	0
-2388	0
-2386	0
-2384	0
-2382	1
-2380	0
-2378	0
-2376	1
-2374	0
-2372	0
-2370	0
-2368	0
-2366	1
-2364	0
-2362	0
-2360	0
-2358	0
-2356	0
-2354	0
-2352	0
-2350	0
-2348	0
-2346	1
-2344	0
-2342	0
-2340	0
-2338	1
-2336	1
-2334	0
-2332	0
-2330	0
-2328	0
-2326	1
-2324	0
-2322	0
-2320	0
-2318	0
-2316	0
-2314	0
-2312	0
-2310	1
-2308	0
-2306	0
-2304	0
-2302	0
-2300	0
-2298	0
-2296	0
-2294	0
-2292	0
-2290	1
-2288	0
-2286	0
-2284	1
-2282	0
-2280	1
-2278	0
-2276	0
-2274	1
-2272	0
-2270	0
-2268	0
-2266	0
-2264	0
-2262	0
-2260	0
-2258	0
-2256	0
-2254	0
-2252	0
-2250	0
-2248	0
-2246	0
-2244	0
-2242	0
-2240	0
-2238	1
-2236	0
-2234	0
-2232	0
-2230	0
-2228	0
-2226	0
-2224	0
-2222	0
-2220	0
-2218	0
-2216	0
-2214	1
-2212	0
-2210	0
-2208	0
-2206	2
-2204	0
-2202	0
-2200	0
-2198	0
-2196	0
-2194	1
-2192	1
-2190	1
-2188	1
-2186	0
-2184	0
-2182	0
-2180	1
-2178	0
-2176	0
-2174	0
-2172	1
-2170	2
-2168	0
-2166	0
-2164	1
-2162	0
-2160	0
-2158	0
-2156	0
-2154	1
-2152	0
-2150	1
-2148	1
-2146	1
-2144	0
-2142	0
-2140	0
-2138	1
-2136	2
-2134	1
-2132	0
-2130	0
-2128	1
-2126	0
-2124	0
-2122	0
-2120	0
-2118	0
-2116	0
-2114	1
-2112	0
-2110	0
-2108	2
-2106	1
-2104	1
-2102	2
-2100	3
-2098	3
-2096	2
-2094	1
-2092	3
-2090	2
-2088	2
-2086	6
-2084	3
-2082	5
-2080	2
-2078	7
